Date,Open,High,Low,Close,Adj Close,Volume
08-06-2020,11.55,12.6,11.2,12,12,875540832
09-06-2020,12.35,12.35,9,10.05,10.05,485568457
10-06-2020,9.7,11,9.1,10.85,10.85,21663710
11-06-2020,11.1,11.45,9.15,9.4,9.4,1073741823
12-06-2020,8.5,10.3,8,10.15,10.15,428987207
15-06-2020,10.8,10.8,9.9,10.15,10.15,860072479
16-06-2020,10.3,10.4,9.2,9.75,9.75,807989244
17-06-2020,9.35,10,9.35,9.85,9.85,449439930
18-06-2020,9.85,10.35,9.05,9.75,9.75,994738202
19-06-2020,9.75,9.9,9.05,9.15,9.15,542136358
22-06-2020,9.2,10.5,9.05,10.1,10.1,125582495
23-06-2020,10.1,10.5,10,10.25,10.25,442636336
24-06-2020,10.35,10.4,9.5,9.8,9.8,524309917
25-06-2020,9.4,10.1,9.25,9.85,9.85,595177700
26-06-2020,9.8,10.75,9.75,10.4,10.4,19946693
29-06-2020,10.6,11.25,10.1,11.1,11.1,994232174
30-06-2020,11.45,11.45,10.5,10.6,10.6,885288809
01-07-2020,10.4,10.75,10.05,10.15,10.15,434160300
02-07-2020,10.2,10.45,9.75,10.05,10.05,369159111
03-07-2020,10.1,10.25,9.85,10,10,261979691
06-07-2020,10.1,10.1,9.75,9.8,9.8,231233013
07-07-2020,9.8,9.85,9.45,9.55,9.55,240978456
08-07-2020,9.6,9.9,9.1,9.3,9.3,451507367
09-07-2020,9.25,9.5,9,9.35,9.35,360685550
10-07-2020,9.2,9.9,8.75,9.75,9.75,924533453
13-07-2020,10,10.1,9.5,9.75,9.75,378786463
14-07-2020,9.65,9.7,9.3,9.35,9.35,278276181
15-07-2020,9.2,9.35,8.45,8.65,8.65,475980943
16-07-2020,8.65,8.7,7,7.85,7.85,990846027
17-07-2020,7.6,9,7.45,8.9,8.9,764115052
20-07-2020,9.4,9.7,8.25,9.1,9.1,1034469293
21-07-2020,8.95,8.95,8.15,8.3,8.3,644443669
22-07-2020,8.45,9.05,8.35,8.55,8.55,505614748
23-07-2020,8.9,8.9,8.5,8.6,8.6,232008377
24-07-2020,8.4,8.55,8.1,8.4,8.4,242262782
27-07-2020,8.2,8.45,8,8.05,8.05,177632018
28-07-2020,8.05,8.15,7.8,8.05,8.05,189177411
29-07-2020,8,8.65,7.85,8.25,8.25,359492082
30-07-2020,8.25,8.5,7.95,8,8,293048882
31-07-2020,8.1,8.5,8.1,8.4,8.4,340455059
03-08-2020,8.4,8.85,8,8.7,8.7,422266642
04-08-2020,8.7,8.95,8.5,8.65,8.65,328489260
05-08-2020,8.6,8.75,8.15,8.3,8.3,289455100
06-08-2020,8.3,8.5,8.15,8.25,8.25,177568336
